Transaction_ID,Account_ID,Transaction_Date,Transaction_Type,Channel,Amount
1,183,5/8/2024,transfer,Branch,7460
2,1065,11/17/2024,payment,Branch,8536
3,397,10/15/2024,transfer,ATM,9760
4,779,8/29/2024,withdrawal,ATM,14449
5,907,1/24/2024,transfer,Online,12640
6,127,5/3/2024,transfer,Online,8223
7,1,8/8/2024,deposit,Branch,4228
8,1192,2/22/2024,withdrawal,ATM,29993
9,19,1/23/2024,withdrawal,Online,7229
10,584,9/30/2024,deposit,ATM,7256
11,456,8/13/2024,withdrawal,ATM,9487
12,957,4/19/2024,withdrawal,Online,26183
13,1133,1/19/2024,transfer,ATM,35390
14,445,3/2/2024,transfer,Branch,7203
15,602,4/17/2024,deposit,Online,7870
16,103,11/9/2024,deposit,ATM,4378
17,988,5/8/2024,withdrawal,ATM,28391
18,520,12/18/2024,transfer,Branch,8298
19,1177,12/2/2024,deposit,Online,53787
20,859,4/20/2024,payment,Online,28773
21,174,2/15/2024,withdrawal,Branch,2139
22,1005,1/1/2024,payment,Branch,11098
23,431,7/1/2024,payment,Branch,6217
24,727,1/14/2024,deposit,Branch,3191
25,850,1/11/2024,transfer,ATM,20733
26,990,3/21/2024,withdrawal,Branch,7638
27,639,4/1/2024,withdrawal,ATM,1240
28,420,3/8/2024,transfer,Online,3738
29,594,12/4/2024,payment,ATM,1503
30,485,1/17/2024,deposit,Branch,2703
31,412,7/6/2024,transfer,Branch,3845
32,936,3/19/2024,deposit,ATM,16149
33,1108,7/12/2024,deposit,ATM,17523
34,1137,1/18/2024,withdrawal,Branch,108182
35,332,2/25/2024,deposit,ATM,7387
36,655,2/7/2024,withdrawal,Online,3969
37,41,8/10/2024,withdrawal,Branch,2276
38,959,3/26/2024,transfer,Branch,28627
39,105,12/31/2024,transfer,Online,9023
40,202,10/31/2024,withdrawal,Online,3078
41,450,3/29/2024,payment,Online,7461
42,910,5/13/2024,withdrawal,Branch,12345
43,210,4/10/2024,payment,Online,828
44,563,10/1/2024,payment,ATM,6652
45,1142,2/29/2024,withdrawal,ATM,162411
46,713,12/24/2024,deposit,Branch,4264
47,771,7/21/2024,withdrawal,ATM,17706
48,1108,4/2/2024,withdrawal,ATM,18972
49,454,1/26/2024,deposit,ATM,4440
50,667,10/9/2024,deposit,Online,9331
51,629,10/2/2024,deposit,Online,9102
52,387,6/19/2024,withdrawal,ATM,4778
53,296,8/6/2024,payment,ATM,1221
54,258,4/22/2024,deposit,Branch,2789
55,1105,11/15/2024,payment,ATM,6843
56,268,11/20/2024,deposit,Branch,7416
57,419,8/23/2024,withdrawal,Branch,5773
58,235,6/21/2024,deposit,ATM,5027
59,986,1/6/2024,deposit,Branch,27083
60,1237,1/13/2024,deposit,ATM,191110
61,574,3/25/2024,deposit,ATM,5783
62,49,9/3/2024,deposit,Online,3619
63,1151,11/27/2024,transfer,ATM,151303
64,223,3/17/2024,transfer,Online,923
65,921,12/10/2024,deposit,Branch,14420
66,277,5/29/2024,transfer,ATM,5249
67,1131,10/6/2024,withdrawal,Branch,32292
68,420,10/3/2024,payment,Online,9943
69,611,9/24/2024,deposit,ATM,8546
70,375,5/27/2024,deposit,Online,3379
71,73,8/28/2024,deposit,Branch,6716
72,1054,8/27/2024,deposit,ATM,16243
73,1212,1/26/2024,deposit,Branch,167079
74,195,5/5/2024,payment,Online,4780
75,1180,6/23/2024,deposit,Online,176898
